"combined_bucket","amount_percentile_bin","score_percentile_bin","min_amount","max_amount","min_score","max_score","total_transactions","fraud_transactions","fraud_percentage"
1,1,1,0.01000,1.90000,"004","019",1110,4,0.36
2,1,2,0.01000,1.90000,"019","026",1527,1,0.07
3,1,3,0.01000,1.90000,"026","032",1696,1,0.06
4,1,4,0.01000,1.90000,"032","037",1799,2,0.11
5,1,5,0.01000,1.90000,"037","041",1829,1,0.05
6,1,6,0.01000,1.90000,"041","045",1965,2,0.10
7,1,7,0.01000,1.90000,"045","048",2006,0,0.00
8,1,8,0.01000,1.90000,"048","051",2114,1,0.05
9,1,9,0.01000,1.90000,"051","055",2064,0,0.00
10,1,10,0.01000,1.90000,"055","059",2166,0,0.00
11,1,11,0.01000,1.90000,"059","063",2258,2,0.09
12,1,12,0.01000,1.90000,"063","066",2413,2,0.08
13,1,13,0.01000,1.90000,"066","070",2396,0,0.00
14,1,14,0.01000,1.90000,"070","073",2364,1,0.04
15,1,15,0.01000,1.90000,"073","076",2524,2,0.08
16,1,16,0.01000,1.90000,"076","079",2574,0,0.00
17,1,17,0.01000,1.90000,"079","083",2646,4,0.15
18,1,18,0.01000,1.90000,"083","086",2716,3,0.11
19,1,19,0.01000,1.90000,"086","089",2842,3,0.11
20,1,20,0.01000,1.90000,"089","092",2750,1,0.04
21,1,21,0.01000,1.90000,"092","096",3004,2,0.07
22,1,22,0.01000,1.90000,"096","099",3189,1,0.03
23,1,23,0.01000,1.90000,"099","104",3197,1,0.03
24,1,24,0.01000,1.90000,"104","109",3666,4,0.11
25,1,25,0.01000,1.90000,"109","114",3666,2,0.05
26,1,26,0.01000,1.90000,"114","120",3824,5,0.13
27,1,27,0.01000,1.90000,"120","126",4109,2,0.05
28,1,28,0.01000,1.90000,"126","131",4576,1,0.02
29,1,29,0.01000,1.90000,"131","137",4097,3,0.07
30,1,30,0.01000,1.90000,"137","143",3944,5,0.13
31,1,31,0.01000,1.90000,"143","148",3829,2,0.05
32,1,32,0.01000,1.90000,"148","154",3749,3,0.08
33,1,33,0.01000,1.90000,"154","159",3769,2,0.05
